EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
E1001252,29.0,Female,Technical Degree,Married,Sales,Sales Representative,Travel_Frequently,20.0,3,3,84.0,3,1,4,1.0,No,15.0,2,3.0,5.0,3,3.0,1.0,0.0,2.0,No,3
E1001253,35.0,Female,Medical,Married,Sales,Sales Executive,Travel_Rarely,18.0,3,3,86.0,3,2,3,1.0,No,16.0,2,5.0,3.0,3,5.0,2.0,1.0,0.0,No,3
E1001254,52.0,Male,Life Sciences,Married,Development,Senior Developer,Travel_Rarely,1.0,2,4,70.0,3,4,4,2.0,No,15.0,2,26.0,2.0,2,9.0,8.0,7.0,8.0,No,3
E1001259,53.0,Male,Medical,Divorced,Sales,Manager,Travel_Rarely,2.0,2,3,45.0,3,4,3,6.0,No,13.0,3,22.0,3.0,4,17.0,13.0,15.0,2.0,No,3
E1001260,30.0,Male,Other,Divorced,Sales,Sales Executive,Travel_Rarely,8.0,2,3,62.0,3,3,3,5.0,No,11.0,1,10.0,2.0,4,8.0,4.0,7.0,7.0,No,3
E1001262,35.0,Male,Life Sciences,Divorced,Sales,Sales Executive,Travel_Rarely,3.0,4,4,92.0,3,3,4,6.0,No,13.0,2,12.0,2.0,3,10.0,9.0,0.0,8.0,No,3
E1001263,39.0,Male,Life Sciences,Single,Sales,Sales Executive,Travel_Rarely,2.0,5,1,41.0,4,3,3,0.0,No,18.0,4,9.0,3.0,3,8.0,7.0,0.0,7.0,No,3
E1001264,40.0,Female,Life Sciences,Single,Sales,Sales Executive,Non-Travel,24.0,3,2,100.0,4,4,2,4.0,Yes,16.0,4,22.0,2.0,2,1.0,0.0,0.0,0.0,Yes,3
E1001265,47.0,Male,Medical,Divorced,Development,Senior Developer,Travel_Frequently,16.0,4,3,64.0,4,2,3,1.0,Yes,19.0,3,20.0,3.0,4,19.0,10.0,2.0,7.0,No,3
E1001268,36.0,Male,Technical Degree,Divorced,Sales,Sales Executive,Non-Travel,8.0,4,1,84.0,3,2,4,4.0,No,13.0,4,12.0,3.0,3,7.0,7.0,0.0,7.0,No,3
E1001269,31.0,Male,Medical,Single,Development,Developer,Non-Travel,9.0,2,3,46.0,2,1,1,0.0,Yes,22.0,1,4.0,0.0,3,3.0,2.0,1.0,2.0,Yes,4
E1001270,33.0,Male,Life Sciences,Single,Sales,Manager,Non-Travel,17.0,3,4,38.0,3,4,3,1.0,No,11.0,4,10.0,2.0,3,10.0,8.0,6.0,0.0,No,3
E1001272,29.0,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,10.0,3,4,92.0,2,1,1,6.0,Yes,20.0,3,3.0,5.0,3,0.0,0.0,0.0,0.0,Yes,4
E1001273,33.0,Female,Life Sciences,Single,Development,Developer,Travel_Rarely,13.0,1,2,53.0,3,1,4,3.0,No,18.0,1,5.0,4.0,3,3.0,2.0,0.0,2.0,No,3
E1001274,45.0,Female,Medical,Divorced,Development,Developer,Travel_Rarely,1.0,4,4,91.0,3,1,4,3.0,No,14.0,4,8.0,2.0,3,5.0,3.0,0.0,2.0,No,3
E1001275,50.0,Male,Medical,Divorced,Development,Senior Developer,Travel_Rarely,1.0,2,4,66.0,3,4,4,9.0,No,22.0,3,32.0,1.0,2,5.0,4.0,1.0,3.0,No,4
E1001276,33.0,Female,Other,Married,Development,Developer,Travel_Frequently,1.0,4,3,84.0,4,2,2,1.0,Yes,13.0,1,6.0,2.0,3,6.0,5.0,1.0,2.0,No,3
E1001277,41.0,Male,Medical,Divorced,Development,Developer,Travel_Frequently,9.0,3,1,64.0,3,5,3,2.0,No,17.0,2,21.0,2.0,4,18.0,16.0,0.0,11.0,No,3
E1001280,45.0,Male,Life Sciences,Married,Development,Developer,Non-Travel,23.0,2,4,42.0,3,2,1,1.0,Yes,15.0,3,9.0,2.0,3,9.0,8.0,0.0,8.0,No,3
E1001281,47.0,Female,Life Sciences,Single,Sales,Sales Executive,Travel_Rarely,4.0,2,4,83.0,3,2,4,1.0,Yes,17.0,3,9.0,0.0,3,9.0,0.0,0.0,7.0,No,3
E1001282,30.0,Female,Life Sciences,Married,Development,Developer,Travel_Rarely,22.0,3,1,48.0,3,1,3,4.0,Yes,11.0,2,7.0,2.0,3,5.0,2.0,0.0,1.0,Yes,3
E1001283,50.0,Male,Life Sciences,Married,Development,Developer,Travel_Rarely,24.0,3,4,95.0,3,4,3,3.0,Yes,18.0,4,22.0,2.0,3,12.0,11.0,1.0,5.0,No,3
E1001284,38.0,Male,Medical,Married,Research & Development,Senior Manager R&D,Travel_Frequently,10.0,1,3,66.0,3,1,3,0.0,No,17.0,2,3.0,0.0,2,2.0,1.0,0.0,2.0,No,3
E1001288,35.0,Male,Other,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,14.0,4,3,39.0,2,1,2,1.0,Yes,24.0,4,5.0,2.0,1,4.0,2.0,0.0,2.0,Yes,3
E1001289,31.0,Female,Life Sciences,Married,Research & Development,Manufacturing Director,Travel_Frequently,1.0,1,3,96.0,3,2,1,1.0,No,12.0,3,4.0,1.0,3,4.0,3.0,0.0,3.0,No,3
E1001290,18.0,Male,Life Sciences,Single,Research & Development,Research Scientist,Non-Travel,5.0,2,2,73.0,3,1,4,1.0,No,15.0,4,0.0,2.0,3,0.0,0.0,0.0,0.0,No,3
E1001291,54.0,Female,Technical Degree,Married,Research & Development,Senior Manager R&D,Travel_Rarely,17.0,3,3,56.0,3,3,3,8.0,No,11.0,3,22.0,2.0,3,10.0,7.0,0.0,8.0,No,3
E1001292,35.0,Female,Medical,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,25.0,4,3,57.0,3,3,3,1.0,Yes,11.0,3,16.0,3.0,2,16.0,10.0,10.0,1.0,No,3
E1001293,30.0,Female,Life Sciences,Married,Research & Development,Research Director,Travel_Rarely,8.0,2,2,73.0,4,3,1,0.0,Yes,12.0,3,9.0,4.0,2,8.0,7.0,1.0,7.0,No,2
E1001296,26.0,Male,Medical,Married,Research & Development,Senior Manager R&D,Travel_Rarely,2.0,2,4,32.0,4,2,4,1.0,No,12.0,2,8.0,2.0,3,8.0,7.0,1.0,3.0,No,3
E1001297,22.0,Male,Life Sciences,Married,Research & Development,Laboratory Technician,Travel_Rarely,8.0,1,2,94.0,1,1,1,1.0,No,15.0,1,4.0,3.0,2,4.0,3.0,1.0,1.0,No,2
E1001300,48.0,Male,Life Sciences,Single,Research & Development,Healthcare Representative,Travel_Rarely,6.0,3,1,97.0,2,2,3,2.0,No,13.0,4,19.0,0.0,3,2.0,2.0,2.0,2.0,No,2
E1001302,48.0,Male,Life Sciences,Single,Research & Development,Senior Manager R&D,Travel_Rarely,4.0,4,3,78.0,2,3,3,7.0,No,14.0,2,27.0,3.0,3,15.0,11.0,4.0,8.0,No,3
E1001303,41.0,Female,Medical,Single,Research & Development,Manufacturing Director,Travel_Rarely,7.0,2,4,42.0,3,2,3,6.0,No,14.0,2,8.0,6.0,3,2.0,2.0,2.0,1.0,No,3
E1001304,39.0,Female,Life Sciences,Married,Research & Development,Manufacturing Director,Travel_Rarely,1.0,1,4,65.0,2,4,4,1.0,No,16.0,3,21.0,3.0,3,21.0,6.0,11.0,8.0,No,3
E1001305,27.0,Female,Life Sciences,Married,Research & Development,Senior Manager R&D,Travel_Rarely,2.0,4,1,47.0,3,2,4,0.0,No,18.0,2,4.0,2.0,3,3.0,2.0,2.0,2.0,No,2
E1001306,35.0,Male,Other,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,10.0,3,2,45.0,3,1,4,1.0,No,20.0,1,3.0,4.0,2,3.0,2.0,1.0,2.0,No,2
E1001307,42.0,Male,Marketing,Married,Sales,Manager,Travel_Rarely,5.0,2,4,90.0,3,5,3,6.0,No,13.0,2,21.0,3.0,4,1.0,0.0,0.0,0.0,No,4
E1001308,50.0,Male,Life Sciences,Married,Research & Development,Laboratory Technician,Travel_Rarely,9.0,3,1,64.0,3,1,4,4.0,No,18.0,2,8.0,5.0,3,1.0,0.0,0.0,0.0,No,3
E1001310,59.0,Female,Life Sciences,Single,Research & Development,Manufacturing Director,Travel_Rarely,2.0,3,3,69.0,2,4,4,3.0,Yes,13.0,1,30.0,4.0,3,5.0,3.0,4.0,3.0,No,3
E1001312,55.0,Male,Medical,Married,Research & Development,Healthcare Representative,Travel_Frequently,18.0,4,3,62.0,3,2,2,3.0,Yes,14.0,4,17.0,3.0,3,8.0,7.0,6.0,7.0,No,3
E1001313,41.0,Female,Life Sciences,Divorced,Research & Development,Research Director,Non-Travel,7.0,1,2,55.0,1,5,3,1.0,No,22.0,2,21.0,3.0,3,21.0,16.0,5.0,10.0,No,2
E1001314,38.0,Male,Life Sciences,Single,Sales,Sales Executive,Travel_Rarely,3.0,4,2,42.0,3,2,4,8.0,Yes,12.0,3,19.0,1.0,3,1.0,0.0,0.0,0.0,No,3
E1001315,26.0,Male,Medical,Single,Sales,Sales Executive,Non-Travel,29.0,2,2,79.0,1,2,1,8.0,No,18.0,4,7.0,6.0,3,2.0,2.0,2.0,2.0,Yes,2
E1001316,52.0,Female,Marketing,Married,Sales,Manager,Travel_Rarely,2.0,1,1,57.0,1,5,4,1.0,No,15.0,4,33.0,3.0,3,32.0,14.0,6.0,9.0,Yes,2
E1001317,44.0,Female,Medical,Married,Sales,Sales Executive,Travel_Rarely,28.0,3,4,53.0,4,4,4,3.0,Yes,18.0,3,23.0,2.0,3,12.0,11.0,11.0,11.0,No,3
E1001318,50.0,Female,Life Sciences,Married,Sales,Sales Executive,Non-Travel,1.0,3,4,95.0,3,2,3,0.0,No,12.0,1,19.0,3.0,3,18.0,7.0,0.0,13.0,No,3
E1001321,39.0,Female,Medical,Single,Research & Development,Manufacturing Director,Travel_Frequently,22.0,3,4,82.0,3,3,1,1.0,Yes,13.0,3,21.0,2.0,3,21.0,6.0,2.0,8.0,No,3
E1001322,33.0,Female,Life Sciences,Single,Sales,Sales Representative,Non-Travel,8.0,1,2,88.0,2,1,4,0.0,No,19.0,4,3.0,2.0,2,2.0,2.0,2.0,2.0,No,2
E1001323,45.0,Female,Life Sciences,Married,Sales,Manager,Travel_Rarely,11.0,2,4,90.0,3,4,4,3.0,No,13.0,2,26.0,4.0,4,9.0,3.0,1.0,1.0,No,3
E1001324,32.0,Female,Medical,Single,Research & Development,Senior Manager R&D,Non-Travel,29.0,4,4,69.0,3,1,3,9.0,No,12.0,2,10.0,2.0,3,8.0,7.0,7.0,7.0,No,3
E1001325,34.0,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,1.0,4,2,75.0,4,2,4,0.0,No,11.0,4,16.0,2.0,2,15.0,1.0,0.0,9.0,No,3
E1001326,59.0,Male,Technical Degree,Married,Sales,Manager,Travel_Rarely,1.0,2,2,66.0,3,3,4,3.0,Yes,14.0,3,14.0,1.0,1,6.0,4.0,0.0,4.0,No,3
E1001327,45.0,Male,Medical,Single,Human Resources,Human Resources,Travel_Rarely,24.0,4,2,36.0,3,1,2,1.0,No,16.0,1,6.0,3.0,3,6.0,3.0,0.0,4.0,No,3
E1001330,36.0,Male,Other,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,15.0,3,1,81.0,3,2,3,7.0,No,14.0,2,9.0,3.0,2,1.0,0.0,0.0,0.0,Yes,3
E1001331,26.0,Male,Life Sciences,Married,Research & Development,Research Scientist,Travel_Frequently,2.0,3,1,57.0,3,1,1,6.0,Yes,14.0,2,6.0,2.0,3,3.0,2.0,1.0,2.0,Yes,2
E1001334,28.0,Male,Medical,Married,Sales,Sales Representative,Travel_Rarely,10.0,1,4,74.0,3,1,2,1.0,No,22.0,2,1.0,5.0,3,1.0,0.0,0.0,0.0,No,4
E1001338,38.0,Male,Other,Married,Research & Development,Senior Manager R&D,Travel_Frequently,3.0,4,3,44.0,3,1,3,3.0,No,16.0,1,8.0,2.0,3,2.0,2.0,2.0,2.0,No,3
E1001339,50.0,Male,Medical,Married,Research & Development,Senior Manager R&D,Travel_Rarely,2.0,4,2,62.0,3,5,3,2.0,Yes,11.0,4,29.0,2.0,2,8.0,1.0,7.0,7.0,No,3
E1001340,37.0,Female,Other,Single,Research & Development,Healthcare Representative,Travel_Rarely,3.0,3,4,35.0,3,2,2,3.0,No,15.0,1,8.0,3.0,2,4.0,3.0,0.0,1.0,No,3
E1001344,40.0,Male,Marketing,Married,Sales,Sales Executive,Travel_Rarely,26.0,3,3,74.0,3,2,1,1.0,No,14.0,2,8.0,3.0,2,7.0,7.0,7.0,5.0,No,3
E1001346,26.0,Female,Medical,Divorced,Research & Development,Research Scientist,Travel_Frequently,1.0,1,1,66.0,2,1,3,1.0,No,13.0,3,5.0,5.0,3,5.0,3.0,1.0,3.0,No,2
E1001348,54.0,Female,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,2.0,4,3,41.0,2,3,3,6.0,No,11.0,2,13.0,4.0,3,9.0,4.0,7.0,0.0,No,3
E1001349,56.0,Female,Medical,Married,Research & Development,Senior Manager R&D,Travel_Frequently,9.0,3,1,63.0,3,1,3,2.0,No,19.0,2,18.0,4.0,3,5.0,4.0,0.0,3.0,No,3
E1001351,36.0,Female,Medical,Single,Research & Development,Manufacturing Director,Travel_Rarely,12.0,5,4,51.0,2,3,4,0.0,No,11.0,2,15.0,2.0,2,14.0,8.0,7.0,8.0,No,3
E1001352,55.0,Male,Medical,Single,Research & Development,Manager,Non-Travel,2.0,1,3,40.0,2,4,1,7.0,No,15.0,2,31.0,3.0,4,9.0,7.0,6.0,2.0,No,4
E1001354,43.0,Male,Medical,Divorced,Sales,Sales Executive,Travel_Rarely,25.0,3,3,79.0,2,3,4,5.0,No,13.0,3,18.0,5.0,3,1.0,0.0,0.0,0.0,No,3
E1001355,20.0,Female,Marketing,Single,Sales,Sales Representative,Travel_Frequently,9.0,3,4,54.0,3,1,4,1.0,Yes,14.0,2,2.0,3.0,3,2.0,2.0,0.0,2.0,Yes,3
E1001357,21.0,Female,Life Sciences,Single,Research & Development,Senior Manager R&D,Travel_Rarely,10.0,3,3,36.0,2,1,1,1.0,No,13.0,1,1.0,6.0,2,1.0,0.0,1.0,0.0,Yes,3
E1001358,46.0,Female,Life Sciences,Divorced,Research & Development,Senior Manager R&D,Travel_Rarely,8.0,4,4,74.0,2,2,1,8.0,Yes,23.0,1,19.0,2.0,3,16.0,13.0,1.0,7.0,No,4
E1001360,28.0,Male,Technical Degree,Single,Research & Development,Senior Manager R&D,Non-Travel,24.0,2,2,72.0,2,3,1,1.0,No,12.0,1,10.0,2.0,2,10.0,7.0,1.0,9.0,Yes,2
E1001361,26.0,Male,Medical,Married,Research & Development,Laboratory Technician,Travel_Rarely,1.0,2,1,59.0,2,1,1,1.0,No,16.0,1,6.0,2.0,3,5.0,3.0,1.0,3.0,No,2
E1001362,30.0,Male,Other,Married,Research & Development,Senior Manager R&D,Travel_Rarely,20.0,3,3,85.0,3,2,1,0.0,No,15.0,3,7.0,1.0,2,6.0,2.0,0.0,2.0,No,3
E1001366,38.0,Female,Life Sciences,Married,Research & Development,Healthcare Representative,Travel_Rarely,17.0,1,3,65.0,2,3,3,0.0,No,18.0,1,20.0,4.0,2,19.0,9.0,1.0,9.0,No,3
E1001370,40.0,Male,Technical Degree,Married,Research & Development,Senior Manager R&D,Travel_Rarely,20.0,4,1,61.0,3,3,4,4.0,No,20.0,4,14.0,6.0,3,11.0,10.0,11.0,1.0,No,2
E1001372,27.0,Male,Life Sciences,Married,Research & Development,Senior Manager R&D,Non-Travel,8.0,5,1,87.0,1,1,3,1.0,No,19.0,4,3.0,4.0,3,3.0,2.0,1.0,2.0,No,2
E1001374,55.0,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Frequently,2.0,1,4,65.0,3,3,2,3.0,No,18.0,2,23.0,4.0,3,3.0,2.0,1.0,2.0,No,3
E1001376,44.0,Male,Medical,Married,Human Resources,Human Resources,Travel_Rarely,1.0,2,2,91.0,2,3,1,9.0,No,14.0,4,24.0,1.0,3,20.0,6.0,3.0,6.0,Yes,2
E1001379,33.0,Female,Medical,Single,Research & Development,Research Scientist,Travel_Frequently,29.0,4,1,54.0,2,2,3,1.0,No,22.0,2,14.0,4.0,3,13.0,7.0,3.0,8.0,Yes,2
E1001381,34.0,Male,Life Sciences,Single,Research & Development,Healthcare Representative,Travel_Frequently,3.0,1,1,45.0,3,2,4,0.0,No,17.0,3,7.0,1.0,2,6.0,2.0,0.0,4.0,No,3
E1001384,25.0,Male,Technical Degree,Married,Research & Development,Manager R&D,Travel_Rarely,4.0,1,4,32.0,3,1,4,1.0,Yes,15.0,2,7.0,3.0,4,7.0,7.0,5.0,6.0,Yes,3
E1001385,26.0,Male,Medical,Divorced,Research & Development,Manager R&D,Travel_Rarely,21.0,3,1,37.0,3,1,3,1.0,No,20.0,3,1.0,0.0,2,1.0,1.0,0.0,0.0,Yes,4
E1001387,42.0,Male,Medical,Married,Research & Development,Manager,Travel_Rarely,2.0,2,4,35.0,3,4,1,0.0,No,17.0,4,23.0,3.0,3,22.0,6.0,13.0,7.0,No,3
E1001389,28.0,Male,Medical,Divorced,Research & Development,Manager R&D,Travel_Frequently,1.0,3,1,45.0,2,1,2,1.0,No,15.0,1,1.0,2.0,3,1.0,0.0,0.0,0.0,Yes,3
E1001391,50.0,Male,Other,Single,Sales,Sales Executive,Travel_Frequently,1.0,4,4,81.0,3,2,3,3.0,Yes,14.0,4,5.0,4.0,3,0.0,0.0,0.0,0.0,Yes,3
E1001392,33.0,Female,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,7.0,3,4,30.0,3,2,2,0.0,No,17.0,3,4.0,3.0,3,3.0,2.0,0.0,2.0,No,3
E1001393,34.0,Male,Life Sciences,Married,Research & Development,Research Scientist,Non-Travel,3.0,4,3,40.0,2,1,4,3.0,No,17.0,4,6.0,2.0,3,0.0,0.0,0.0,0.0,No,3
E1001394,48.0,Male,Medical,Single,Research & Development,Manager R&D,Non-Travel,1.0,4,1,35.0,4,4,4,2.0,No,22.0,3,27.0,3.0,2,5.0,4.0,2.0,1.0,No,2
E1001395,45.0,Female,Life Sciences,Married,Sales,Sales Executive,Non-Travel,9.0,4,2,65.0,2,2,3,1.0,No,13.0,4,15.0,2.0,3,15.0,10.0,4.0,12.0,No,2
E1001396,52.0,Male,Life Sciences,Single,Research & Development,Healthcare Representative,Travel_Rarely,7.0,4,2,87.0,3,3,2,7.0,No,19.0,4,18.0,4.0,3,8.0,6.0,4.0,0.0,No,2
E1001397,38.0,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,10.0,4,3,73.0,2,3,3,0.0,Yes,14.0,2,9.0,2.0,3,8.0,7.0,2.0,7.0,No,3
E1001398,29.0,Female,Life Sciences,Divorced,Research & Development,Manager R&D,Travel_Rarely,28.0,4,3,93.0,3,1,4,4.0,No,22.0,1,11.0,1.0,3,7.0,5.0,1.0,7.0,No,4
E1001399,28.0,Female,Medical,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,3.0,3,4,93.0,3,3,2,0.0,No,17.0,2,10.0,3.0,2,9.0,7.0,1.0,7.0,No,3
E1001402,46.0,Male,Marketing,Married,Sales,Manager,Travel_Rarely,3.0,1,1,52.0,3,4,3,3.0,No,12.0,4,23.0,3.0,3,12.0,9.0,4.0,9.0,No,2
E1001403,38.0,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,2.0,2,4,32.0,3,3,2,7.0,No,16.0,3,10.0,2.0,3,1.0,0.0,0.0,0.0,No,3
E1001405,39.0,Male,Life Sciences,Divorced,Research & Development,Healthcare Representative,Travel_Frequently,2.0,3,1,84.0,3,4,4,7.0,No,11.0,4,21.0,4.0,3,18.0,7.0,11.0,5.0,Yes,2
E1001406,40.0,Male,Medical,Single,Research & Development,Manager R&D,Travel_Rarely,14.0,3,3,44.0,2,5,3,1.0,No,14.0,1,21.0,2.0,4,20.0,7.0,4.0,9.0,No,3
E1001410,39.0,Male,Life Sciences,Single,Research & Development,Laboratory Technician,Non-Travel,9.0,3,3,70.0,3,2,2,9.0,No,15.0,3,9.0,2.0,2,5.0,4.0,0.0,3.0,No,3
E1001411,36.0,Male,Life Sciences,Single,Research & Development,Manufacturing Director,Non-Travel,18.0,4,1,78.0,3,2,4,2.0,No,20.0,1,18.0,0.0,3,11.0,9.0,0.0,9.0,No,3
E1001413,31.0,Male,Life Sciences,Married,Sales,Sales Representative,Travel_Frequently,20.0,3,3,67.0,4,1,4,0.0,No,12.0,1,3.0,4.0,3,2.0,2.0,2.0,2.0,No,3
E1001414,28.0,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,2.0,1,1,67.0,2,1,2,0.0,No,17.0,1,6.0,2.0,1,5.0,3.0,0.0,4.0,No,3
E1001415,35.0,Male,Marketing,Divorced,Sales,Sales Executive,Travel_Frequently,11.0,2,4,54.0,3,2,4,1.0,No,11.0,4,5.0,3.0,3,5.0,2.0,0.0,2.0,No,3
E1001416,49.0,Male,Technical Degree,Married,Sales,Sales Executive,Travel_Rarely,8.0,4,4,56.0,2,4,2,6.0,No,17.0,2,22.0,3.0,3,9.0,8.0,2.0,3.0,No,3
E1001418,34.0,Male,Life Sciences,Single,Research & Development,Manager R&D,Travel_Frequently,2.0,2,4,95.0,3,2,3,2.0,No,11.0,4,5.0,3.0,2,3.0,2.0,0.0,2.0,No,3
E1001421,29.0,Female,Life Sciences,Divorced,Research & Development,Research Scientist,Travel_Frequently,10.0,3,4,61.0,3,1,2,0.0,No,14.0,4,8.0,2.0,2,7.0,5.0,1.0,1.0,No,3
E1001426,42.0,Male,Medical,Single,Research & Development,Laboratory Technician,Travel_Rarely,29.0,3,2,56.0,1,2,4,4.0,No,19.0,1,16.0,3.0,3,1.0,0.0,0.0,0.0,No,3
E1001428,29.0,Male,Medical,Married,Research & Development,Manufacturing Director,Travel_Rarely,8.0,1,2,79.0,2,2,4,1.0,Yes,15.0,3,10.0,2.0,2,10.0,7.0,1.0,2.0,No,2
E1001432,28.0,Male,Life Sciences,Divorced,Research & Development,Research Scientist,Travel_Frequently,6.0,3,3,39.0,2,1,3,1.0,Yes,14.0,4,3.0,2.0,3,3.0,1.0,0.0,2.0,No,3
E1001434,18.0,Male,Medical,Single,Research & Development,Laboratory Technician,Non-Travel,8.0,1,3,80.0,3,1,3,1.0,No,12.0,4,0.0,0.0,3,0.0,0.0,0.0,0.0,Yes,3
E1001435,33.0,Female,Marketing,Single,Sales,Sales Executive,Travel_Rarely,9.0,4,1,77.0,3,2,1,0.0,Yes,17.0,1,6.0,3.0,3,5.0,2.0,0.0,3.0,Yes,3
E1001436,41.0,Male,Life Sciences,Married,Research & Development,Laboratory Technician,Travel_Rarely,12.0,4,2,46.0,3,1,4,3.0,Yes,11.0,1,6.0,4.0,3,1.0,0.0,0.0,0.0,No,3
E1001438,31.0,Male,Medical,Married,Research & Development,Laboratory Technician,Travel_Frequently,15.0,3,3,72.0,3,1,3,1.0,No,12.0,3,2.0,5.0,2,2.0,2.0,2.0,2.0,Yes,3
E1001439,37.0,Female,Medical,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,25.0,2,3,52.0,2,2,4,7.0,No,13.0,3,9.0,2.0,3,6.0,2.0,1.0,3.0,No,3
E1001440,27.0,Male,Life Sciences,Married,Research & Development,Research Scientist,Travel_Rarely,6.0,3,4,55.0,2,1,3,1.0,No,13.0,3,4.0,0.0,3,4.0,2.0,2.0,2.0,No,3
E1001441,34.0,Female,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,9.0,1,2,70.0,3,2,3,1.0,No,20.0,1,6.0,3.0,2,6.0,5.0,1.0,3.0,No,2
E1001442,35.0,Male,Technical Degree,Single,Human Resources,Human Resources,Travel_Rarely,8.0,4,3,100.0,3,1,3,1.0,No,17.0,2,6.0,2.0,1,5.0,4.0,1.0,4.0,No,2
E1001443,29.0,Female,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,23.0,1,4,45.0,2,3,1,1.0,No,13.0,1,11.0,3.0,1,11.0,8.0,3.0,10.0,Yes,2
E1001444,40.0,Female,Medical,Single,Research & Development,Research Director,Travel_Frequently,9.0,4,2,88.0,3,3,3,9.0,No,17.0,3,20.0,3.0,2,18.0,7.0,2.0,13.0,No,2
E1001445,42.0,Male,Life Sciences,Single,Sales,Sales Executive,Travel_Frequently,12.0,3,3,44.0,3,4,1,0.0,Yes,12.0,2,22.0,2.0,2,21.0,9.0,13.0,14.0,Yes,3
E1001449,42.0,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,4.0,4,2,45.0,3,2,1,7.0,No,13.0,4,9.0,3.0,4,6.0,4.0,1.0,5.0,No,4
E1001451,24.0,Male,Medical,Single,Research & Development,Laboratory Technician,Travel_Rarely,24.0,3,4,49.0,3,1,2,8.0,No,22.0,4,6.0,2.0,3,4.0,3.0,1.0,2.0,No,4
E1001453,28.0,Female,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,12.0,1,3,79.0,3,1,4,1.0,Yes,11.0,4,1.0,4.0,2,1.0,1.0,0.0,0.0,Yes,3
E1001455,26.0,Male,Medical,Married,Research & Development,Manager R&D,Travel_Rarely,3.0,4,1,82.0,4,1,4,1.0,No,22.0,2,8.0,2.0,3,8.0,7.0,0.0,7.0,No,3
E1001457,30.0,Male,Marketing,Married,Sales,Sales Executive,Travel_Rarely,10.0,3,3,72.0,2,2,3,1.0,No,18.0,1,10.0,3.0,3,10.0,3.0,1.0,4.0,No,3
E1001458,40.0,Female,Medical,Married,Research & Development,Research Scientist,Travel_Frequently,26.0,2,3,92.0,2,2,4,3.0,Yes,13.0,4,16.0,3.0,1,1.0,1.0,0.0,0.0,No,3
E1001460,35.0,Male,Life Sciences,Divorced,Research & Development,Manufacturing Director,Travel_Rarely,2.0,3,3,44.0,2,3,2,2.0,No,18.0,2,15.0,2.0,4,7.0,7.0,6.0,4.0,No,3
E1001462,34.0,Male,Medical,Single,Research & Development,Healthcare Representative,Travel_Frequently,1.0,3,4,97.0,2,2,1,0.0,No,20.0,3,14.0,3.0,3,13.0,9.0,4.0,9.0,No,4
E1001463,35.0,Male,Other,Married,Research & Development,Laboratory Technician,Travel_Frequently,4.0,4,4,47.0,2,1,4,1.0,No,13.0,2,2.0,2.0,4,2.0,2.0,2.0,2.0,No,3
E1001466,43.0,Female,Marketing,Single,Sales,Sales Executive,Travel_Rarely,9.0,3,1,85.0,1,2,3,8.0,No,13.0,2,7.0,2.0,2,4.0,3.0,1.0,3.0,Yes,2
E1001468,32.0,Female,Life Sciences,Divorced,Sales,Sales Representative,Non-Travel,2.0,1,3,76.0,3,1,1,1.0,No,12.0,3,1.0,3.0,3,1.0,0.0,0.0,0.0,No,3
E1001469,56.0,Female,Technical Degree,Divorced,Research & Development,Manager,Travel_Rarely,4.0,4,4,92.0,3,5,1,4.0,No,13.0,4,28.0,2.0,3,5.0,2.0,4.0,2.0,No,3
E1001470,29.0,Female,Medical,Married,Research & Development,Manager R&D,Travel_Rarely,6.0,1,2,54.0,3,1,4,1.0,No,13.0,1,10.0,5.0,3,10.0,8.0,0.0,8.0,No,3
E1001471,19.0,Male,Life Sciences,Single,Research & Development,Research Scientist,Travel_Rarely,9.0,2,3,54.0,3,1,1,1.0,No,25.0,3,1.0,4.0,3,1.0,1.0,0.0,0.0,No,4
